VMRSCode,"Long Description","Short Description ",Obsolete,Comments
IOWAM,"Iowa Manufacturing","Iowa Manufacturing",,
IOWRP,"Iowa Rotocast Plastics","Iowa Rotocast Plastics",,
IPDXX,IPD,IPD,,
IPEXI,"Ipex Inc","Ipex Inc",,
IPRSY,"IPR Systems Inc","IPR Systems ",,
IPTCI,"IPTCI Bearings","IPTCI Bearings",,
IRACR,"Iracore International Inc","Iracore International Inc",,
IRONT,Irontite,Irontite,,
IRVOL,"Irving Oil","Irving Oil",,
IRWIN,"Irwin Industrial Tool Co","Irwin Industrial Tool",,
ISCOI,"Isco Industries","Isco Industries",,
ISKNK,"Iseki and Co Ltd","Iseki and Co Ltd",,
ISHIK,Ishikawajima,Ishikawajima,,
ISKRA,"Iskra Mfg. Co.",Iskra,,"Requested by FedEx"
ISCLA,"Island Clean Air ","Island Clean Air",,
ISMXX,ISM,ISM,,
ISNXX,"ISN Tools","ISN Tools",,
ISODY,"Isolation Dynamics Corp","Isolation Dynamics Corp",,
ISOMT,"Isometrics Inc","Isometrics Inc",,
ISRNG,"ISRINGHAUSEN INC.",,,
ISSPR,ISSPRO,,,
ISUSX,"Isus Axle Corporation","Isus Axle",,"Requested by Jim Robinson, AutoZone"
ITALC,Italcardano,Italcardano,,
ITALI,"Italergi S R L","Italergi S R L ",,
ITAPS,"ITAP SpA ","ITAP SpA ",,
ITERI,"Iteris, Inc",,,"requested by Maverickupdated by MRW"
ITMXX,"ITM Engine Components Inc","ITM Engine Components",,
ITMIN,"ITM Instruments","ITM Instruments",,
"ITTCN ","ITT Cannon","ITT Cannon",,
CONOF,"ITT Conoflow",Conoflow,,
ITTGP,"ITT Goulds Pumps Industrial Products","ITT Goulds Pumps Industrial Products",,
ITTGR,"ITT GRINNELL VALVE CO.",,,
ITWBL,"ITW Bee Leitzke","ITW Bee Leitzke",,
ITCAR,"ITW CargoSafe/Load Control Technology","ITW CargoSafe",,
ITWCP,"ITW Corporation","ITW Corp",,
DEVCN,"ITW Devcon","ITW Devcon",,
DYMON,"ITW Dymon","ITW Dymon",,
"BLKMC ","ITW Global Brands","ITW Global Brands",,
ITWHL,"ITW Highland","ITW Highland",,"1240 Wolcott St.Waterbury, Conn. 06720Requested by Gordon Trucking"
ITWPM,"ITW Poly Mex, S. de R.L. de C.V.","ITW Poly Mex, S. de R.L. de C.V.",,
"ITWRC ","ITW Rocol North America","ITW Rocol",,
"ITWSB ","ITW Strap Binder","ITW Strap Binder",,
TKFST,"ITW Tekfast an ITW Deltar Business","ITW Tekfast",,
IVCFR,"IVECO FORD ",,YES,
IVECO,"IVECO TRUCKS OF NORTH AMERICA, INC.",,,
IWAKI,"Iwaki America Inc","Iwaki America Inc",,
IWSGS,"IWS Gas and Supply of Texas Inc","IWS Gas and Supply of Texas Inc",,
IXETC,"Ixetic USA Inc","Ixetic USA",,"Requested by Parts River "
IXLPR,"IXL Premium Lubricants","IXL Premuim Lubricants",,
JANDJ,"J and J Parts","J and J Parts",,
JANDN,"J and N Electric","J and N Electric",YES,"Obsolete - use JNELC"
JANDB,"J & B Fleet Industrial Supply","J & B Fleet Industrial Supply",,
JBROD,"J Broder Associates, Inc.","J Broder Assoc",,
JCTRL,"J C Trailers","J C Trailers",,
JJDYN,"J & J Dynamic Products LLC ","J & J Dynamic Products",,
KLLER,"J.J. KELLER",,,
JJEBX,"J. Jeb Manufacturing Co.","J. Jeb Mfg.",,
JALTN,"J & L TANK, INC.",,,
CHNTL,"J M Chantal","J M Chantal",,
JMMAC,"J & M Machine","J & M Machine",,
JMAYE,"J May Equipment Group","J May Equipment Group",,
JNELC,"J & N Auto Electric","J & N Auto Electric",,"Replaces - JANDN"
JPFBR,"J.P. FABRICATORS",,,
JRHIG,"J R Higgins & Associates","J R Higgins",,"898 Main St Acton, Mass 01720Requested by Parts River "
JTMPI,"J.T.M. PRODUCTS, INC.",,,
JVRSF,"J.V.R. Safe-T-Signal Inc","J.V.R. Safe-T-Signal Inc",,
JWSPK,"J W Speaker Corp","J W Speaker",,"REquested by FedEx "
JMPRO,"J&M Products Inc","J&M Products Inc",,
JMCLP,"J-M Clipper","J-M Clipper",,
JMAKI,"J-Mak Industries Inc","J-Mak Industries",,
JTPRO,"J2 Products","J2 Products",,
JBSCO,Jabsco,Jabsco,,
JACKY,"Jack Young Co","Jack Young Co",,
JACKS,"JACKS DISTRIBUTING",,,
JKSNJ,"Jackson Jordan","Jackson Jordan",,
JCKSN,"JACKSON PRODUCTS",,,
JCKPT,"Jackson Professional Tools","Jackson Tools",,
JCKTW,"Jackssons Trailers West Inc ","Jackssons Trailers West Inc ",,
JACOB,"JACOBS CHUCK MFG. CO.",,,
JACBS,"Jacobs Vehicle Systems","Jacobs Vehicle Systems",,
JCBSN,"JACOBSEN MFG. CO.",,,
JACEQ,"Jacobson Equipment","Jacobson Equipment",,
JADIN,"Jadler Industries Ltd","Jadler Industries Ltd",,
JAEGR,"JAEGER MACHINE CO.",,,
JAGUR,"Jaguar, division of Ford Motor Company",Jaguar,,
"JAHNX ","Jahn Lighting","Jahn Lighting",,
JAMTC,"Jamar Technologies, Inc.","Jamar Technologies",,"151 Keith Valley RdHorsham, Pa. 19044Requested by Central Striping Service"
JAMCO,Jamco,Jamco,,
JRFPL,"Jame Roll Form Products, LLC","Jame Roll Form Products, LLC",,
KILEY,"James A. Kiley Co.","James A. Kiley Co.",,"Requested by Rich Viehdorfer, National Grid"
JMAST,"James Austin Company","James Austin Company",,
JMSKN,"JAMES KING COMPANY",,,
JAMST,"JAMS Turbo, Inc.","JAMS Turbo, Inc.",,
JNSTR,"JANESVILLE TRUCK EQUIPMENT CO.",,,
JANIZ,Janitized,Janitized,,
JNNSN,"JANNELL & SON, CO.",,,
JNTSA,"Jantsa Wheel Industry ","Jantsa Wheel Industry ",,
JPNFC,"Japan Filter Co","Japan Filter",,
JARVS,"Jarvis Clark","Jarvis Clark",,
JARCT,"Jarvis Cutting Tool","Jarvis Cutting Tool",,
JASCO,"Jasco Products",Jasco,,
JASPT,"Jasper Engines & Transmissions",Jasper,,"815 Wernsing Rd.P.O. Box 650Jasper, IN 47547req. by Mike Kramer"
JATCO,"Jatasco Inc","Jatasco Inc",,
JTHHY,"JATHY HYDROLICS INC.",,,
JAXXX,"JAX Inc","JAX Inx",,
JAYMD,"JAY MADSEN CORP.",,,
JAYTR,"Jay Turner Company LLC","Jay Turner Company LLC",,
JBETL,"JB Enterprises Trailer","JB Enterprises Trailer",,
JBHNT,"JB Hunt","JB Hunt",,
JBIND,"JB Industries Incorporated","JB Industries ",,
JBRSX,"JB Radiator Specialties","JB Radiator Specialties",,
JBWLD,"JB Weld Co.","JB Weld",,"Requested by FedEx"
JBARX,"JBAR A/C Inc","JBAR A/C",,
JBTXX,"JBT Corporation","JBT Corporation",,
JCBLT,"JC Banford LTD","JC Banford",YES,"Obsolete - use JCBXX"
JCPEN,"JC Penneys","JC Penneys",,
JCBXX,"JCB Corporation",JCB,,"Replaces - JCBLT"
JCBPR,"JCB Products","JCB Products",,
JCSEN,"JCS ENTERPRISES",,,
JDJXX,Jdj,Jdj,,
JEMAC,"JE-MAC CORP.",,,
JECSX,JECS,JECS,,
JEEPX,"JEEP CORP. ",,,
JEGSX,"Jegs High Performance","Jegs High Performance",,
JLMAR,"Jelmar LLC","Jelmar LLC",,
JEMCO,"Jemco Engeineering Co",Jemco,,"Requested by Parts River "
JNBRW,"Jenbacher Werke","Jenbacher Werke",,
JENSS,"Jendco Safety Supply","Jendco Safety Supply",,
JENDK,"Jendyk Enterprises, Inc.","Jendyk Enterprises, Inc.",,
JENDY,"Jendyl Products","Jendyl Products",,
JNKBR,"JENKINS BROS.",,,
JENPR,"Jenny Products Inc","Jenny Products",,
JNSEN,"Jensen Brand Radios","Jensen Brand Radios",,
JENSN,"Jensen Trailer","Jensen Trailer",,"Requested by Parts River"
JRRDN,"JERR-DAN CORPORATION",,,
JETCP,"Jet Company","Jet Company",,
JETEQ,"Jet Equipment & Tools","Jet Equipment",,"Requested by FedEx"
JETHD,"JET Hardware Mfg Corp","JET Hardware",,
JETLB,"Jet-Lube Inc",Jet-Lube,,
JETHL,"Jetco Heavy Duty Lighting ","Jetco Heavy Duty Lighting ",,
JETCO,"JETCO, INC.",,,
JETPR,"Jetporter Inc",Jetporter,,
JGBXX,"JGB Enterprises Inc ","JGB Enterprises Inc ",,
JFFLX,JIFFLOX,,,
JIFFY,"Jiffy Lawn and Asphalt","Jiffy Lawn and Asphalt",,"Requested by Parts River "
JIFLU,"Jiffy Lube","Jiffy Lube",,
JIMCO,"Jimco Inc","Jimco ",,
JIMRY,"Jimray Technology Inc",Jimray,,"Requested by Parts River "
JINDO,"Jindo Corp",Jindo,,
JINHA,"Jinyon Hasun Dintail Auto Parts Co. Ltd.","Jinyon Hasun Dintail Auto Parts Co. Ltd.",,
JLAUD,"JL Audio ","JL Audio ",,
JLGIN,"JLG INDUSTRIES",,,
JMCIN,"JMC Inc","JMC Inc",,"Requested by Parts River "
JODOG,"JO-DOG MFG. CO.",,,
JBSMT,"Job Smart Inc","Job Smart",,
JOBCO,JOBCO,,,
"JOSKP ","Joe's Kleen Products","Joe's Kleen Products",,
JOHMN,Joh-Man,Joh-Man,,
JHNBN,"JOHN BEAN DIV., FMC CORP.",,,
JCRNE,"John Crane","John Crane",,
JCINC,"John Crane Inc","John Crane",,"Requested by Parts River "
JHNDR,"John Deere Ltd.","John Deere",,"No DUNS No. Provided"
JDIND,"John Dow Industries","John Dow",,"151 Snyder Ave. Barberton, Oh. 44203Requested by Parts River "
JHNEV,"JOHN EVANS MFG. CO.",,,
JHNRH,"John Heinrich","John Heinrich",,
JMESX,"John M Ellsworth Co Inc","John M Ellsworth Co Inc",,
HOLTH,"John R Hollingsworth Co","John R Hollingsworth ",,"Requested by Parts River "
JRSPR,"John R Spring Service Inc","John R Spring Service",,
JHNRB,"John Rubber","John Rubber",,
"JSKCO ","John Sakash Company Inc","John Sakash Company Inc",,
JSPBC,"John Stuart Power Brake Company, Ltd.","John Stuart",,"Requested by Wayne Baker, Canpar Transport, Ltd. "
TILMN,"John Tillman Co","John Tillman Co",,
JWHEE,"Johnny Wheels Inc","Johnny Wheels Inc",,
JHSEN,"Johnsens Brake Maintenance Products","Johnsens Brake",,
JNABR,"Johnson Abrasives Co Inc","Johnson Abrasives",,
JHNCN,"JOHNSON CONTROLS, INC",,,"Note - company is now Clarios (code CLROS) "
EVINR,"Johnson Evinrude","Johnson Evinrude",,
JHNSI,"Johnson Industries","Johnson Industries",,
MATTH,"Johnson Matthey Inc","Johnson Matthey",,
JHNSN,"JOHNSON MFG. CO. DIV., GARDINER METAL",,,
JHNSP,"Johnson Spitfire Chemical Mfg","Johnson Spitifre",,
JHNSW,"Johnson Sweepers","Johnson Sweepers",,"Requested by Parts River "
JHNTW,"JOHNSON & TOWERS BALTIMORE, INC.",,,
JHNTR,"JOHNSON TRUCK BODIES",,,
JWPXX,"Johnson Welded Products Inc ","Johnson Welded Products Inc",,
JSPLY,"Johnstone Supply","Johnstone Supply",,
JOSUS,"Joliet Suspension Inc","Joliet Suspension Inc",,
JOMAR,"Jomar Valve","Jomar Valve",,
JOMPR,"Jomarr Products Inc ","Jomarr Products Inc ",,
JONES,"JONES PERFORMANCE PRODUCTS, INC.",,,
JONMF,JONES-MFG,,,
JORAL,"Joral LLC","Joral LLC",,
JORDA,Jordan,Jordan,,
JDDSF,"Jordan David Safety Products","Jordan David Safety",,
JORDN,"Jordan Trailers","Jordan Trailers",,"Requested by Parts River "
JHUNT,"Joseph Hunt Co","Joseph Hunt ",,
JOSMF,"Josephson Manufacturing Company","Josephson Manufacturing Company",,
JOSLN,"Joslyn Clark","Joslyn Clark",,
JOSTI,"JOST INTERNATIONAL",,,
JOTTO,"Jotto Assembled Products","Jotto Assembled Products",,
JOYXX,"JOY INC.",,,
JOYSS,"Joyson Safety Systems","Joyson Safety Systems",,
JPMTM,"JP Metal Manufacturing ","JP Metal Manufacturing",,
"JCPCF ","JP Pacific Inc","JP Pacific Inc",,
JPCSP,"JPC Specialties","JPC Specialties",,
JRPRD,"JR Products","JR Products",,
JRBAT,"JRB Attachments Co","JRB Attachments",,
JRSXX,Jrs,Jrs,,
JRVPD,"JRV Products","JRV Prodcuts",,
JRZXX,"JRZ Associates, Inc.","JRZ Associates, Inc.",,
JTTXX,"JT and T Products","JT and T Products",,
JTCXX,"JTC Sales Inc","JTC Sales",,
JUDAH,"Judah Manufacturing Co","Judah Manufacturing",,
JUDCO,"Judco Manufacturing Inc ","Judco Manufacturing Inc ",,
JULEC,"Julian Electronics","Julian Electronics",,
JUNGH,"Jungheinrich Lift Truck Corp. USA","Jungheinrich Lift Truck",,"5601 Eastport BlvdRichmond, Va. 23231requested by Mark Coughlin"
JUSTR,"Justrite Mfg Co LLC","Justrite Mfg",,
JUSFB,"Justus Custom Built Flat Beds ","Justus Custom Built Flat Beds ",,
JVDVT,"JV & DV Trailer Manufacturing","JV & DV Trailer",,"Requested by Orange County Fire Auth. "
JVCUS,"JVC, USA",JVC,,"requested by Kirk NationaLease"
JWIND,"JW Industries","JW Industries",,
JXENT,"JX Enterprises Inc","JX Enterprises Inc",,
KNXXX,"K and N Engineering","K and N",,
KDTLS,"K D Tools","K D Tools",YES,"Obsolete - use KDTOL"
KESPL,"K & E Supply Company ","K & E Supply",,
KHIND,"K & H Industries","K & H Industries",,
KAKXX,"K & K ATV","K & K ATV",,
KLJCK,"K. L. Jack & Co. ","K. L. Jack & Co. ",,
KSTER,"K S Terminals Inc","K S Terminals Inc",YES,"Obsolete - use KSTRM"
KWBTT,"K W BATTERY CO.",,,
KWPRD,"K & W PRODUCTS",,,
KWTOL,"K & W Tools Co Ltd","K & W Tools",,
KTENM,"K-10 Enterprises, Inc.","K-10 Mirrors",,
KBAXL,"K-B AXLE DIV., E B WIGGINS INC.",,,
KDLMP,"K-D LAMP CO.",,,
KDMNF,"K-D MANUFACTURING CO.",,,
KFOUR,K-Four,K-Four,,
KGSPR,"K-G Spray-Pak Inc","K-G Spray-Pak Inc",,
KLIND,"K-Line Industries",K-Line,,
KLINE,"K-Line Trailer Ltd.","K-Line Trailer",,"Requested by National Grid, Rich Viedorfer"
KPACX,"K-Pac Equipment div of Stellar Ind","K-Pac Equipment",,
KSEAL,K-Seal,K-Seal,,
KSORS,"K-Source Inc",K-Source,,
KTOOL,"K-Tool International ",K-Tool,,
KINNV,"K4 Innovations","K4 Innovations",,
KELEC,"K40 Electronics","K40 Electronics",,
KABST,"KAB Seating","KAB Seating",,
ILCOX,"Kaba Ilco Corp","Kaba Ilco",,
KACOX,"Kaco, Sabo - Group","Kaco, Sabo - Group",,
KADIS,"Kaddis Manufacturing Corp",Kaddis,,
KALBL,"Kaelble-Baumschinen GMBH",Kaelble-Baumschinen,,
KAESR,"Kaeser Compressors Inc","Kaeser Compressors",,
KSSBR,Kaessbohrer,Kaessbohrer,,
KAFFE,"Kaffenbargers Truck Equipment","Kaffenbargers Truck Equipment",,
KAFKO,"Kafko International Inc","Kafko ",,
KSRAL,"KAISER ALUMINUM & CHEMICAL CORP.",,,
KSRJP,"KAISER JEEP OF CANADA LTD.",,,
KAKWL,"Kakwa Welding LTD","Kakwa Welding ",,
KALMZ,"KALAMAZOO MFG. CO.",,,
KALAS,Kalas,Kalas,,
KALMR,"Kalmar Industries","Kalmar Industries",,"Replaces - KMRLM"
KMRLM,"KALMAR LMV",,YES,"Obsolete - use KALMR"
KALYN,"KALYN, INC.",,,
KAMTK,"Kam Truck Components","Kam Truck Components",,"Requested by Jim Robinson, AutoZone"
KAMAN,"Kaman Bearing","Kaman Bearing",,
KAMPR,Kamper,Kamper,,
KANAF,"Kanaflex Hose","Kanaflex ",,
KNBRC,"Kanebridge Corporation","Kanebridge Corporation",,
KNTSU,"Kanematsu USA, Inc.","Kanematsu KGRearVision",,
KANNX,"Kann Manufacturing Corp","Kann Manufacturing",,
KANOL,"Kano Laboratories","Kano Laboratories",,
KANSJ,"Kansas Jack","Kansas Jack",,
KANST,"Kansas Truck Equipment Company Inc","Kansas Truck",,
KAPCO,Kapco,Kapco,,
KAPER,"Kaper II Inc","Kaper II",,
KRPRD,"KAR PRODUCTS",,,
KARTI,"Kar-Tech Inc","Kar-Tech Inc",,
KARAM,"Karam Auto Ltd","Karam Auto Ltd",,
KARVN,Karavan,Karavan,,"Requested by Rich Viehdorfer, National Grid"
KRGFL,"Kargo Flex of North America Inc.","Kargo Flex",,"Requested by FedEx"
KARKL,"KARI KOOL TRANSPORT DIV., DAIRY EQUIPMENT CO.",,,
KARDG,"Karl Dungs GmbH & Co. KG","Karl Dungs GmbH & Co. KG",,
KARMK,Karmak,Karmak,,
KARMN,"Karman Rubber Co","Karman Rubber",,"Requested by Parts River "
"KARIR ","Karrior Industrial Electric Vehicles","Karrior Industrial Electric Vehicles",,
KARYA,"Karyall Telday Inc","Karyall Telday Inc",,
KASCO,"Kasco Abrasives","Kasco Abrasives",,
KASON,"Kason Industries, Inc.","Kason Industries",,"Requested by Wayne Baker, CANPAR Transport, Ltd., 905-897-3603"
KASSB,Kassbohrer,Kassbohrer,,"Requested by Rich Viehdorfer, National Grid"
KATOK,"Kataoka Crane","Kataoka Crane",,
KATEC,"Katec - Aerosolv/Prosolv",Katec,,
KATOX,Kato,Kato,,
KATOL,"Katolight Corporation",Katolight,,
KATSX,"Kats-Five Star manufacturing","Kats-Five Star",,
KAUFT,"Kaufman Trailers","Kaufman Trailers",,
KWSKI,Kawasaki,,,"P. O. Box 25252Santa Ana, CA 92799Requested by Transervice"
KAWTL,"Kawkawlin Trailer","Kawkawlin Trailer",,
KAYBR,"Kay Brunner Wheels","Kay Brunner",,
KABRG,"Kaydon Bearings","Kaydon Bearings",,
"KADON ","Kaydon Custom Filtration Corp","Kaydon Custom Filtration",,
KAYSI,"Kayln Siebert Trailers","Kayln Siebert Trailers",,
KAYSR,Kayser,Kayser,,
KAZOO,KAZOO,,,
KBICO,"KBI Company","KBI Company",,
KCLMP,"KC Lamp","KC Lamp",,
KDTOL,"KD Tools","KD Tools",,
KDSXX,"KDS Control","KDS Control",,
"KETRL ","Kearney Trailers LLC","Kearney Trailers LLC",,
KERNY,Kearny,Kearny,,"Requested by Rich Viehdorfer, National Grid"
KEDUE,"Kedu Electric Co","Kedu Electric Co",,
KEEMW,"Kee Mowers","Kee Mowers",,"Requested by Parts River "
KEELR,Keeler,Keeler,,
KEENE,"Keene Export Brake and Electric Co","Keene Export Brake and Electric",,
KEEPR,"Keeper Corp","Keeper Corp",,
KEIPR,"KEI Products","KEI Products",,
KEIHU,"Keith Huber, Inc.","Keith Huber",,"P O  Box 3368 Gulfport, MS. 39505Requested by Cetraris"
KTHMN,"KEITH MANUFACTURING CO.",,,
KELTC,Kel-Tech,Kel-Tech,,
KELCH,"Kelch Corp",Kelch,,
KELRS,"Kellers Auto Glass","Kellers Auto Glass",,
KELLA,"Kellog American","Kellog American",,
KLLCR,"KELLY CRESWELL CO., INC.",,,
KELLY,"Kelly Industrial Supply Inc","Kelly Industrial",,
KLLSP,"KELLY-SPRINGFIELD TIRE CO.",,,
KLSHY,"KELSEY-HAYES CO.",,,
KELSY,"Kelsy Electric Brake","Kelsy Electric Brake",,
KLTEN,"Keltner Enterprises Inc","Keltner Enterprises",,"Requested by Parts River "
KEMXX,KEM,KEM,,
KEMLT,"KEMLITE CORP.",,,
KEMVF,"Kemper Valve & Fittings Corporation","Kemper Valve & Fittings",,
KENTL,"KEN TOOL",,,
KRICX,"Kenda Rubber Industrial Co","Kenda Rubber Industrial",,
KENDA,Kendall,Kendall,,
KENDN,"Kenden Manufacturing",Kenden,,"Requested by Parts River "
KNDSL,KenDiesel,KenDiesel,,"Requested by Jim Robinson, AutoZone"
KENDR,"Kendra Tire - Houston","Kendra Tire - Houston",,
KENNA,"Kennametal Products",Kennametal,,
KENDY,"Kennedy Bus Parts","Kennedy Bus Parts",,
KENSH,"KENOSHA AUTO TRANSPORT",,,
KNSCO,"KENSICO MFG. CO.",,,
KENTN,Kensington,Kensington,,"Requested by National Grid "
KENTD,"Kent Demolition Tools div of FRDUSA","Kent Demolition Tools",,
KENTM,"KENT MOORE TOOL GROUP, SEALED POWER CORP.","Kent Moore Tool Group ",,
KENTX,"Kent-Nilfisk -Advance","Kent-Nilfisk -Advance",,
KENTS,"Kents Welding","Kents Welding",,"Requested by National Grid "
KNTCK,"KENTUCKY MFG. CO.",,YES,"Obsolete - use KNTRC"
KNTRC,"Kentucky Trailer","Kentucky Trailer",,"Replaces - KNTCK"
KENVT,"Kenvo Technology Inc ","Kenvo Technology Inc ",,
KWENG,"Kenway Engineering","Kenway Engineering",,
KWAPR,"Kenwood Automotive Products","Kenwood Automotive",,"Long Beach, Ca. 90801Requested by Parts River "
KENWE,"Kenwood Electronics","Kenwood Electronics",,
KNWRT,"Kenworth Truck Company",Kenworth,,
KPNER,"Kepner Products Company","Kepner Products",,
KERSR,"Kerley & Sears Inc","Kerley & Sears Inc",,
KRNIT,"KERNITE DIV., NCH CORP.",,,
KERLK,"Kerr Lakeside Inc","Kerr Lakeside",,
KERRM,"Kerr McGee","Kerr McGee",,
KRSHW,"KERSHAW MFG. CO., INC",,,
KESLR,Kessler,Kessler,,
KSTRS,"KESTER SOLDER CO.",,,
KEWNE,Kewanee,Kewanee,,
KYPTS,"Key Parts Inc","Key Parts Inc",,
KEYPY,"Key Polymer","Key Polymer",,"Requested by NAMDX, Scott Murray"
KEYSF,"Key Safety Systems","Key Safety Systems",,
"KEYSN ","Keystone Automotive Industries Inc","Keystone Automotive Industries Inc",,
KEYSE,"Keystone Electronics","Keystone Electronics",,
KEYSI,"Keystone International Inc","Keystone International ",,
KEYOF,"Keystone Oilfield Fabrication","Keystone Oilfield Fabrication",,
KEYST,"Keystone Screw Corp","Keystone Screw",,
KYSTN,"KEYSTONE TRAILER & EQUIPMENT CO.",,,
KEYTF,"Keystone Tyco Flow Control ","Keystone Tyco Flow Control ",,
KGIAS,"KGI Automotive Systems Inc","KGI Automotive",,"Requested by Parts River "
KHDXX,KHD,KHD,,
KIAXX,"Kia Motors America, Inc.",Kia,,
KICGR,"KIC Group","KIC Group",,"Requested by FedEx"
KIDDE,"KIDDE FIRE EXTINGUISHER COMPANY",,,"Replaces - KIDDW"
KIDDW,"KIDDE, WALTER, DIV. OF KIDDE INC.",,YES,"Obsolete - use KIDDE"
KIDRN,"KIDRON BODY CO.",,,
KIEFR,"Kiefer Trailers","Kiefer Trailers",,
KIEFF,"Kieff Utility","Kieff Utility",,"Requested by National Grid"
KIENE,"Kiene Diesel Accessories Inc","Kiene Diesel Accessories",,
KIENR,Kiener,Kiener,,
KIKUF,"Kiku Filter","Kiku Filter",,
KLLRK,"Killark Inc",Killark,,
KLLBR,"KILLEBREW MFG. CO.",,,
KLRFL,"Killer Filter Inc ","Killer Filter Inc ",,
KILOI,"Kilo International ","Kilo International ",,
KIMHT,"KIM HOTSTART MFG. CO.",,,
KIMRY,"Kim Ray Inc","Kim Ray Inc",,
KIMBL,"Kimball Midwest","Kimball Midwest",,
KMBLT,"Kimball Toppers","Kimball Toppers",,
KMBLC,Kimberly-Clark,Kimberly-Clark,,
KIMCH,"Kimble Chassis","Kimble Chassis",,
KMBMN,"Kimble Manufacturing Company","Kimble Manufacturing",,
KIMFE,"Kimbrough Fire Extinguisher Company Inc","Kimbrough Fire Extinguisher Company",,
KIMCO,"Kimco Manufacturing",Kimco,,"Requested by Parts River "
KIMOX,"Kimo Manufacturing",Kimo,,
KIMZY,"Kimzy Welding Works Inc","Kimzy Welding Works",,
KINED,"KINEDYNE CORP.",,,
KINEM,"Kinematics Mfg",Kinematics,,
KINGB,"King Bearing ","King Bearing",,
KINGC,"King Controls Inc","King Controls",,
KINGE,"King Electrical Manufacturing Co","King Electrical Manufacturing",,
KNGCP,"King Kaliper","King Kaliper",,
KINGL,"King Long Bus Co ","King Long Bus Co ",,
KOTRD,"King of the Road Co","King of the Road",,"Requested by Parts River "
KNGTY,"King Tony Inc","King Tony",,
KNGTB,"KING'S TRUCK BODY WORKS",,,
KNGSG,"KING-SEAGRAVE LTD.",,,
KINGF,"Kingfisher Lubrication Ltd","Kingfisher Lubrication",,
KINTR,"Kingman Trailers","KIngman Trailers",,
KINGM,"Kingmor Supply Inc","Kingmor Supply",,
KINGT,"Kingston Technology Company ","Kingston Technology Company ",,
KNGTR,"KINGSTON TRAILER, INC.",,,
"KINCO ","Kinko International","Kinko International",,
KNPAK,Kinpak,Kinpak,,"2780 Gunter Park Drive EastMontgomery, AL 36109"
KINRO,"Kinro Inc",Kinro,,
KINCA,"Kinshofer Canada","Kinshofer Canada",,
KIOTI,Kioti,Kioti,,
KIRWD,"Kirbywood Manufacturers","Kirbywood Manufacturers",,
KIRKA,"Kirk Aldie","Kirk Aldie",,
KRKER,"Kirker Enterprises Inc","Kirker Enterprises",,
KRKWD,"Kirkwood Tires Inc","Kirkwood Tires",,
KISMT,"Kismet Rubber Products","Kismet Rubber Products",,
KSLNG,"Kissling Electrotec Inc","Kissling Electrotec",,
KIMST,"Kit Masters Inc","Kit Masters",,"825 1st St.Perham, Minnesota 56573Requested by FedEx"
KITOC,"Kito Corporation","Kito ",,
KJSAF,"KJ SAF TYE Compliance Inc","KJ SAF TYE Compliance",,
"KLAMX ","KLAM America Corporation ","KLAM America Corporation",,
KLAVR,Klaver,Klaver,,
KLAYI,"Klay Instruments","Klay Instruments",,
KLENF,"Kleen-Flo Tumbler Industries Ltd","Kleen-Flo Tumbler",,
KNOIL,"Kleenoil Filtration, Inc.",Kleenoil,,
KLTNK,"Kleespie Tank & Equipment","Kleespie Tank",,"Morris, MnRequested by Jerry Wiessinger"
KLEIN,"Klein Generators","Klein Generators",,"Requested by National Grid "
KLTOL,"Klein Tools","Klein Tools",,
KLETN,Kleton,Kleton,,
KLNAB,"Klingspor Abrasives Inc","Klingspor Abrasives",,
KLXIN,"KLIXON INDUSTRIES DIV., TEXAS INSTRUMENTS",,,
KLNLB,"Klondike Lubricants Corporation","Klondike Lubricants",,
KMART,KMart,KMart,,
KMCXX,"KMC Wheels","KMC Wheels",,
KMCKO,"KMC-Kootrac/Kootenay Tractor",KMC-Kootrac,,
KMEXX,"KME Fire Equipment","KME Fire",,"Requested by Parts River "
KMKMF,"KMK Manufacturing","KMK Manufacturing",,
KMLBG,"KML Bearing and Equipment Limited","KML Bearing and Equipment Limited",,
KMSFB,"KMS Fab, LLC","KMS Fab, LLC",,
KNRUB,"KN Rubber LLC","KN Rubber LLC",,
KNAAK,KNAAK,KNAAK,,
KNPHD,"KNAPHEIDE MFG. CO., THE",,,
KNPFI,"Knapp Fasteners Inc","Knapp Fasteners Inc",,
KNAPP,"KNAPP, WM. A., CO.",,,
KNPCO,"Knappco Corp",Knappco,,"Requested by TMW System"
KNCIN,"KNC Industries Corp","KNC Industries ",,
KNECT,Knecht,Knecht,,
KNGHT,"KNIGHT & CO., LTD., L.",,,
KNIPX,"Knipex - Werk C Gustav Putsch KG","Knipex - Werk C Gustav Putsch KG",,
KNDMN,"KNOEDLER MANUFACTURERS, INC.",,,
KNORR,Knorr,Knorr,,
KNUDS,Knudson,Knudson,,
KOLEE,"Ko Lee - Leblond Ltd","Ko Lee - Leblond",,
KOMAN,"KO Manufacturing Inc","KO Manufacturing",,
KOBTL,"Kobalt Tools","Kobalt Tools",,
KBLCO,"Kobelco America, Inc.","Kobelco America, Inc.",,
KOCST,"Kocsis Technologies","Kocsis Technologies",,
KODCN,"Kodiak Controls Inc ","Kodiak Controls Inc ",,
KDIAK,"Kodiak Trailer Components","Kodiak Trailer",,
KBBEN,"KOEBBE ENTERPRISE, INC.",,,
KHRNG,"KOEHRING CO.",,,
